tract,geo
000100,Algiers Point
011500,Audubon
011600,Audubon
011700,Audubon
011900,Audubon
012000,Audubon
012101,Audubon
012102,Audubon
006900,B.W. Cooper
004100,Bayou St. John
004500,Bayou St. John
000602,Behrman
000603,Behrman
000604,Behrman
012500,Black Pearl
010300,Broadmoor
011200,Broadmoor
012300,Broadmoor
001100,Bywater
001200,Bywater
013400,Central Business District
008400,Central City
008500,Central City
008600,Central City
009100,Central City
009200,Central City
009400,Central City
013900,Central City
014000,Central City
014300,Central City
004600,City Park
980000,City Park
013701,Desire Dev & Neighborhood
013702,Desire Dev & Neighborhood
003307,Dillard
003308,Dillard
007605,Dixon
012600,East Carrollton
012700,East Carrollton
009600,East Riverside
009700,East Riverside
003701,Fairgrounds
003702,Fairgrounds
003301,Filmore
003302,Filmore
000601,Fischer Development
001401,Florida Area
001600,Florida Development
003800,French Quarter
013501,French Quarter
013502,French Quarter
011100,Freret
009000,Garden District
002401,Gentilly Terrace
002402,Gentilly Terrace
002503,Gentilly Terrace
002504,Gentilly Terrace
001702,Gentilly Woods
007000,Gert Town
007200,Gert Town
007501,Hollygrove
007502,Hollygrove
000702,Holy Cross
000800,Holy Cross
004800,Iberville Development
008800,Irish Channel
014200,Irish Channel
001758,Lake Catherine/Village de  L'est
013302,Lake Terrace & Oaks
013301,Lakeshore/Lake Vista
005601,Lakeview
005602,Lakeview
005603,Lakeview
005604,Lakeview
007604,Lakewood
012900,Leonidas
013000,Leonidas
013100,Leonidas
013200,Leonidas
001724,Little Woods
001755,Little Woods
001754,Little Woods
001737,Little Woods
001739,Little Woods
001740,Little Woods
001743,Little Woods
001744,Little Woods
001745,Little Woods
001746,Little Woods
007700,Lower Garden District
007800,Lower Garden District
008200,Lower Garden District
008300,Lower Garden District
000701,Lower Ninth Ward
000901,Lower Ninth Ward
000902,Lower Ninth Ward
000903,Lower Ninth Ward
000904,Lower Ninth Ward
001800,Marigny
002600,Marigny
012200,Marlyville/Fontainebleau
012400,Marlyville/Fontainebleau
012800,Marlyville/Fontainebleau
000200,McDonogh
000300,McDonogh
005000,Mid-City
005400,Mid-City
006300,Mid-City
006400,Mid-City
006500,Mid-City
007101,Mid-City
014500,Mid-City
010000,Milan
010100,Milan
010200,Milan
002501,Milneburg
002502,Milneburg
005500,Navarre
000611,New Aurora/English Turn
000612,New Aurora/English Turn
000606,Old Aurora
000607,Old Aurora
000615,Old Aurora
000616,Old Aurora
001720,Pines Village
001753,Plum Orchard
001752,Plum Orchard
001701,Pontchartrain Park
001747,Read Blvd East
001748,Read Blvd East
001723,Read Blvd West
002700,Seventh Ward
002800,Seventh Ward
002900,Seventh Ward
003000,Seventh Ward
003100,Seventh Ward
003400,Seventh Ward
003500,Seventh Ward
003600,Seventh Ward
003303,St. Anthony
003304,St. Anthony
013800,St. Bernard Area
001301,St. Claude
001302,St. Claude
001402,St. Claude
001500,St. Claude
013600,St. Claude
001900,St. Roch
002000,St. Roch
002100,St. Roch
002200,St. Roch
002300,St. Roch
014101,St. Thomas Development
014102,St. Thomas Development
000619,Tall Timbers/Brechtel
000620,Tall Timbers/Brechtel
000617,Tall Timbers/Brechtel
000618,Tall Timbers/Brechtel
009900,Touro
003900,Treme'/Lafitte
004000,Treme'/Lafitte
004401,Treme'/Lafitte
004402,Treme'/Lafitte
004900,Tulane/Gravier
006000,Tulane/Gravier
000605,U.S. Naval Support Area
010700,Uptown
010800,Uptown
010900,Uptown
001751,Viavant/Venetian Isles
980100,Viavant/Venetian Isles
001741,Village de l'est
001749,Village de l'est
001750,Village de l'est
007607,West End
007608,West End
001757,West Lake Forest
001756,West Lake Forest
001736,West Lake Forest
010600,West Riverside
011400,West Riverside
014400,West Riverside
000400,Whitney
990000,Z-no land mass-all Lake