Neighborhood,Population,"Occupied 
units",Total group quarters population,Total institutional,"Adult correctional
facilties","Juvenile 
facilities","Nursing 
facilities",Other institutional,Total noninstitutional,"College/
university student housing","Military
quarters",Other  noninstitutional,Average household size
Algiers Point,2289,1162,7,0,0,0,0,0,7,0,0,7,1.96
Audubon,17054,4923,5536,162,0,0,162,0,5374,5344,0,30,2.34
B.W. Cooper,1399,464,29,0,0,0,0,0,29,0,0,29,2.95
Bayou St. John,3583,1901,17,0,0,0,0,0,17,0,0,17,1.88
Behrman,7928,2949,0,0,0,0,0,0,0,0,0,0,2.69
Black Pearl,1866,905,210,210,0,0,210,0,0,0,0,0,1.83
Broadmoor,6039,2643,9,0,0,0,0,0,9,0,0,9,2.28
Bywater,3563,2067,5,0,0,0,0,0,5,0,0,5,1.72
Central Business District,4351,2925,265,0,0,0,0,0,265,66,0,199,1.4
Central City,14077,6832,337,0,0,0,0,0,337,65,0,272,2.01
City Park,2719,1472,6,0,0,0,0,0,6,0,0,6,1.84
Desire Dev & Neighborhood,2989,1023,12,0,0,0,0,0,12,0,0,12,2.91
Dillard,5413,2175,709,0,0,0,0,0,709,707,0,2,2.16
Dixon,1397,637,1,0,0,0,0,0,1,0,0,1,2.19
East Carrollton,4041,1977,0,0,0,0,0,0,0,0,0,0,2.04
East Riverside,2601,1327,0,0,0,0,0,0,0,0,0,0,1.96
Fairgrounds,5343,2767,7,0,0,0,0,0,7,0,0,7,1.93
Filmore,5961,2394,21,0,0,0,0,0,21,0,0,21,2.48
Fischer Development,1045,381,0,0,0,0,0,0,0,0,0,0,2.74
Florida Area,1689,682,0,0,0,0,0,0,0,0,0,0,2.48
Florida Development,160,51,0,0,0,0,0,0,0,0,0,0,3.14
French Quarter,3523,2413,16,0,0,0,0,0,16,0,0,16,1.45
Freret,1643,782,30,0,0,0,0,0,30,0,0,30,2.06
Garden District,1877,966,8,8,0,8,0,0,0,0,0,0,1.93
Gentilly Terrace,8727,3888,2,0,0,0,0,0,2,0,0,2,2.24
Gentilly Woods,3206,1190,182,0,0,0,0,0,182,182,0,0,2.54
Gert Town,4247,1381,1335,0,0,0,0,0,1335,1284,0,51,2.11
Hollygrove,5188,2219,0,0,0,0,0,0,0,0,0,0,2.34
Holy Cross,3493,1525,0,0,0,0,0,0,0,0,0,0,2.29
Iberville Development,1122,604,0,0,0,0,0,0,0,0,0,0,1.86
Irish Channel,3104,1650,0,0,0,0,0,0,0,0,0,0,1.88
Lake Catherine/Village de  L'est,1794,739,0,0,0,0,0,0,0,0,0,0,2.43
Lake Terrace & Oaks,3609,1016,1306,0,0,0,0,0,1306,1306,0,0,2.27
Lakeshore/Lake Vista,3730,1502,0,0,0,0,0,0,0,0,0,0,2.48
Lakeview,9751,3759,10,0,0,0,0,0,10,0,0,10,2.59
Lakewood,1894,704,0,0,0,0,0,0,0,0,0,0,2.69
Leonidas,6925,3391,23,0,0,0,0,0,23,0,0,23,2.04
Little Woods,36449,13765,403,149,0,0,149,0,254,0,0,254,2.62
Lower Garden District,6202,3907,7,0,0,0,0,0,7,0,0,7,1.59
Lower Ninth Ward,4982,1883,1,0,0,0,0,0,1,0,0,1,2.65
Marigny,2469,1630,14,0,0,0,0,0,14,0,0,14,1.51
Marlyville/Fontainebleau,6133,2664,303,115,0,0,115,0,188,150,0,38,2.19
McDonogh,2312,1026,20,0,0,0,0,0,20,0,0,20,2.23
Mid-City,14358,6410,1993,1905,1708,30,167,0,88,0,0,88,1.93
Milan,5551,2723,5,0,0,0,0,0,5,0,0,5,2.04
Milneburg,4233,1812,0,0,0,0,0,0,0,0,0,0,2.34
Navarre,2846,1345,7,7,0,7,0,0,0,0,0,0,2.11
New Aurora/English Turn,5295,1927,0,0,0,0,0,0,0,0,0,0,2.75
Old Aurora,15480,6034,383,350,0,0,350,0,33,0,0,33,2.5
Pines Village,4258,1502,0,0,0,0,0,0,0,0,0,0,2.83
Plum Orchard,5390,1920,37,0,0,0,0,0,37,0,0,37,2.79
Pontchartrain Park,2103,710,268,0,0,0,0,0,268,268,0,0,2.58
Read Blvd East,7683,2770,0,0,0,0,0,0,0,0,0,0,2.77
Read Blvd West,4694,1733,4,0,0,0,0,0,4,0,0,4,2.71
Seventh Ward,10909,5439,24,0,0,0,0,0,24,0,0,24,2
St. Anthony,4642,2019,0,0,0,0,0,0,0,0,0,0,2.3
St. Bernard Area,2732,1156,129,129,0,31,98,0,0,0,0,0,2.25
St. Claude,7491,3537,27,0,0,0,0,0,27,0,0,27,2.11
St. Roch,7485,3375,65,13,13,0,0,0,52,0,0,52,2.2
St. Thomas Development,2295,1156,0,0,0,0,0,0,0,0,0,0,1.99
Tall Timbers/Brechtel,12121,5322,264,250,0,0,250,0,14,0,0,14,2.23
Touro,2859,1461,365,327,0,0,295,32,38,0,0,38,1.71
Treme'/Lafitte,5748,2763,341,0,0,0,0,0,341,0,0,341,1.96
Tulane/Gravier,3606,1557,396,0,0,0,0,0,396,197,0,199,2.06
U.S. Naval Support Area,2070,799,0,0,0,0,0,0,0,0,0,0,2.59
Uptown,5861,2897,27,0,0,0,0,0,27,0,0,27,2.01
Viavant/Venetian Isles,1052,361,204,118,0,0,118,0,86,0,31,55,2.35
Village de l'est,8901,2844,0,0,0,0,0,0,0,0,0,0,3.13
West End,4635,2091,0,0,0,0,0,0,0,0,0,0,2.22
West Lake Forest,5010,1925,24,0,0,0,0,0,24,0,0,24,2.59
West Riverside,4742,2389,120,108,0,18,90,0,12,0,0,12,1.93
Whitney,2060,887,20,0,0,0,0,0,20,0,0,20,2.3
Z-no land mass-all Lake,0,0,0,0,0,0,0,0,0,0,0,0,NA
Total,383997,165125,15534,3851,1721,94,2004,32,11683,9569,31,2083,162.2
